case_id,task,resource,start_time,completion_time
Intervention Loaded1006,Intervention Loaded,,2020-01-01 00:10:03.600000,2020-01-01 00:10:03.600000
Intervention Loaded1007,Intervention Loaded,,2020-01-01 00:10:04.200000,2020-01-01 00:10:04.200000
Intervention Loaded1008,Intervention Loaded,,2020-01-01 00:10:04.800000,2020-01-01 00:10:04.800000
Intervention Loaded1009,Intervention Loaded,,2020-01-01 00:10:05.400000,2020-01-01 00:10:05.400000
Intervention Loaded1010,Intervention Loaded,,2020-01-01 00:10:06.000000,2020-01-01 00:10:06.000000
Intervention Loaded1011,Intervention Loaded,,2020-01-01 00:10:06.600000,2020-01-01 00:10:06.600000
Intervention Loaded1012,Intervention Loaded,,2020-01-01 00:10:07.200000,2020-01-01 00:10:07.200000
Intervention Loaded1013,Intervention Loaded,,2020-01-01 00:10:07.800000,2020-01-01 00:10:07.800000
Intervention Loaded1014,Intervention Loaded,,2020-01-01 00:10:08.400000,2020-01-01 00:10:08.400000
Intervention Loaded1015,Intervention Loaded,,2020-01-01 00:10:09.000000,2020-01-01 00:10:09.000000
Intervention Loaded1016,Intervention Loaded,,2020-01-01 00:10:09.600000,2020-01-01 00:10:09.600000
Intervention Loaded1017,Intervention Loaded,,2020-01-01 00:10:10.200000,2020-01-01 00:10:10.200000
Intervention Loaded1018,Intervention Loaded,,2020-01-01 00:10:10.800000,2020-01-01 00:10:10.800000
Intervention Loaded1019,Intervention Loaded,,2020-01-01 00:10:11.400000,2020-01-01 00:10:11.400000
Intervention Loaded1020,Intervention Loaded,,2020-01-01 00:10:12.000000,2020-01-01 00:10:12.000000
Intervention Loaded1021,Intervention Loaded,,2020-01-01 00:10:12.600000,2020-01-01 00:10:12.600000
Intervention Loaded1022,Intervention Loaded,,2020-01-01 00:10:13.200000,2020-01-01 00:10:13.200000
Intervention Loaded1023,Intervention Loaded,,2020-01-01 00:10:13.800000,2020-01-01 00:10:13.800000
Intervention Loaded1024,Intervention Loaded,,2020-01-01 00:10:14.400000,2020-01-01 00:10:14.400000
Intervention Loaded1025,Intervention Loaded,,2020-01-01 00:10:15.000000,2020-01-01 00:10:15.000000
Intervention Loaded1026,Intervention Loaded,,2020-01-01 00:10:15.600000,2020-01-01 00:10:15.600000
Intervention Loaded1027,Intervention Loaded,,2020-01-01 00:10:16.200000,2020-01-01 00:10:16.200000
Intervention Loaded1028,Intervention Loaded,,2020-01-01 00:10:16.800000,2020-01-01 00:10:16.800000
Intervention Loaded1029,Intervention Loaded,,2020-01-01 00:10:17.400000,2020-01-01 00:10:17.400000
Intervention Loaded1030,Intervention Loaded,,2020-01-01 00:10:18.000000,2020-01-01 00:10:18.000000
Intervention Loaded1031,Intervention Loaded,,2020-01-01 00:10:18.600000,2020-01-01 00:10:18.600000
Intervention Loaded1032,Intervention Loaded,,2020-01-01 00:10:19.200000,2020-01-01 00:10:19.200000
Intervention Loaded1033,Intervention Loaded,,2020-01-01 00:10:19.800000,2020-01-01 00:10:19.800000
Intervention Loaded1034,Intervention Loaded,,2020-01-01 00:10:20.400000,2020-01-01 00:10:20.400000
Intervention Loaded1035,Intervention Loaded,,2020-01-01 00:10:21.000000,2020-01-01 00:10:21.000000
Intervention Loaded1036,Intervention Loaded,,2020-01-01 00:10:21.600000,2020-01-01 00:10:21.600000
Intervention Loaded1037,Intervention Loaded,,2020-01-01 00:10:22.200000,2020-01-01 00:10:22.200000
Intervention Loaded1038,Intervention Loaded,,2020-01-01 00:10:22.800000,2020-01-01 00:10:22.800000
Intervention Loaded1039,Intervention Loaded,,2020-01-01 00:10:23.400000,2020-01-01 00:10:23.400000
Intervention Loaded1040,Intervention Loaded,,2020-01-01 00:10:24.000000,2020-01-01 00:10:24.000000
Intervention Loaded1041,Intervention Loaded,,2020-01-01 00:10:24.600000,2020-01-01 00:10:24.600000
Intervention Loaded1042,Intervention Loaded,,2020-01-01 00:10:25.200000,2020-01-01 00:10:25.200000
Intervention Loaded1043,Intervention Loaded,,2020-01-01 00:10:25.800000,2020-01-01 00:10:25.800000
Intervention Loaded1044,Intervention Loaded,,2020-01-01 00:10:26.400000,2020-01-01 00:10:26.400000
Intervention Loaded1045,Intervention Loaded,,2020-01-01 00:10:27.000000,2020-01-01 00:10:27.000000
Intervention Loaded1046,Intervention Loaded,,2020-01-01 00:10:27.600000,2020-01-01 00:10:27.600000
Intervention Loaded1047,Intervention Loaded,,2020-01-01 00:10:28.200000,2020-01-01 00:10:28.200000
Intervention Loaded1048,Intervention Loaded,,2020-01-01 00:10:28.800000,2020-01-01 00:10:28.800000
Intervention Loaded1049,Intervention Loaded,,2020-01-01 00:10:29.400000,2020-01-01 00:10:29.400000
Intervention Loaded1050,Intervention Loaded,,2020-01-01 00:10:30.000000,2020-01-01 00:10:30.000000
Intervention Loaded1051,Intervention Loaded,,2020-01-01 00:10:30.600000,2020-01-01 00:10:30.600000
Intervention Loaded1052,Intervention Loaded,,2020-01-01 00:10:31.200000,2020-01-01 00:10:31.200000
Intervention Loaded1053,Intervention Loaded,,2020-01-01 00:10:31.800000,2020-01-01 00:10:31.800000
Intervention Loaded1054,Intervention Loaded,,2020-01-01 00:10:32.400000,2020-01-01 00:10:32.400000
Intervention Loaded1055,Intervention Loaded,,2020-01-01 00:10:33.000000,2020-01-01 00:10:33.000000
Intervention Loaded1056,Intervention Loaded,,2020-01-01 00:10:33.600000,2020-01-01 00:10:33.600000
Intervention Loaded1057,Intervention Loaded,,2020-01-01 00:10:34.200000,2020-01-01 00:10:34.200000
Intervention Loaded1058,Intervention Loaded,,2020-01-01 00:10:34.800000,2020-01-01 00:10:34.800000
Intervention Loaded1059,Intervention Loaded,,2020-01-01 00:10:35.400000,2020-01-01 00:10:35.400000
Intervention Loaded1060,Intervention Loaded,,2020-01-01 00:10:36.000000,2020-01-01 00:10:36.000000
Intervention Loaded1061,Intervention Loaded,,2020-01-01 00:10:36.600000,2020-01-01 00:10:36.600000
Intervention Loaded1062,Intervention Loaded,,2020-01-01 00:10:37.200000,2020-01-01 00:10:37.200000
Intervention Loaded1063,Intervention Loaded,,2020-01-01 00:10:37.800000,2020-01-01 00:10:37.800000
Intervention Loaded1064,Intervention Loaded,,2020-01-01 00:10:38.400000,2020-01-01 00:10:38.400000
Intervention Loaded1065,Intervention Loaded,,2020-01-01 00:10:39.000000,2020-01-01 00:10:39.000000
Intervention Loaded1066,Intervention Loaded,,2020-01-01 00:10:39.600000,2020-01-01 00:10:39.600000
Intervention Loaded1067,Intervention Loaded,,2020-01-01 00:10:40.200000,2020-01-01 00:10:40.200000
Intervention Loaded1068,Intervention Loaded,,2020-01-01 00:10:40.800000,2020-01-01 00:10:40.800000
Intervention Loaded1069,Intervention Loaded,,2020-01-01 00:10:41.400000,2020-01-01 00:10:41.400000
Intervention Loaded1070,Intervention Loaded,,2020-01-01 00:10:42.000000,2020-01-01 00:10:42.000000
Intervention Loaded1071,Intervention Loaded,,2020-01-01 00:10:42.600000,2020-01-01 00:10:42.600000
Intervention Loaded1072,Intervention Loaded,,2020-01-01 00:10:43.200000,2020-01-01 00:10:43.200000
Intervention Loaded1073,Intervention Loaded,,2020-01-01 00:10:43.800000,2020-01-01 00:10:43.800000
